Station ID,Station Name,Date,Time,SoilTemp,Temp60cm,Temp2m,Tem10m,Humidity,DPTemp,Rainfall,WindSp,WindDir,Radiation
260,ALACHUA,10/21/2020,0:00:00,24.71,22.9,23.18,22.85,96.5,22.6,0,3.88,42.82,1.77
260,ALACHUA,10/21/2020,1:00:00,24.58,22.62,22.88,22.55,96.8,22.35,0,3.85,45.66,1.83
260,ALACHUA,10/21/2020,2:00:00,24.46,22.56,22.83,22.51,96.9,22.3,0,3.13,42.03,1.85
260,ALACHUA,10/21/2020,3:00:00,24.36,22.56,22.8,22.48,97,22.3,0,3.4,40.73,1.89
260,ALACHUA,10/21/2020,4:00:00,24.26,22.47,22.71,22.38,97,22.21,0,3.07,43.13,1.86
260,ALACHUA,10/21/2020,5:00:00,24.18,22.38,22.64,22.32,96.8,22.12,0,3.99,51.78,1.82
260,ALACHUA,10/21/2020,6:00:00,24.1,22.34,22.64,22.33,96.4,22.04,0,3.91,53.91,1.8
260,ALACHUA,10/21/2020,7:00:00,24.03,22.26,22.54,22.22,96.4,21.94,0,4.07,45.98,2.34
260,ALACHUA,10/21/2020,8:00:00,23.95,22.3,22.53,22.19,96.5,21.96,0,3.35,43.04,33.33
260,ALACHUA,10/21/2020,9:00:00,23.9,22.92,23.1,22.69,95.1,22.26,0,4.89,50.7,110.8
260,ALACHUA,10/21/2020,10:00:00,23.94,24.12,24.24,23.82,91.4,22.75,0,4.86,58.35,171.42
260,ALACHUA,10/21/2020,11:00:00,24.05,26,25.95,25.42,86.6,23.54,0,5.61,72.22,246.7
260,ALACHUA,10/21/2020,12:00:00,24.29,26.86,26.71,26.12,84.8,23.94,0,6.2,71.06,307.58
260,ALACHUA,10/21/2020,13:00:00,24.58,27.08,27.04,26.49,83.8,24.08,0,7.37,70.23,255.35
260,ALACHUA,10/21/2020,14:00:00,24.84,26.24,26.32,25.78,86.2,23.82,0.02,6.59,86.18,163
260,ALACHUA,10/21/2020,15:00:00,25.04,25.37,25.26,24.8,91.3,23.74,0.01,6.07,78.25,231.05
260,ALACHUA,10/21/2020,16:00:00,25.18,26.71,26.52,26.05,89.1,24.57,0,5.02,71.25,283.67
260,ALACHUA,10/21/2020,17:00:00,25.35,26.87,27.15,26.82,77.9,22.96,0,8.51,90.87,133.5
260,ALACHUA,10/21/2020,18:00:00,25.4,25.34,25.76,25.45,82.4,22.54,0,5.3,62.91,32.6
260,ALACHUA,10/21/2020,19:00:00,25.3,23.88,24.23,23.95,91.1,22.68,0.03,4.35,54.07,2.37
260,ALACHUA,10/21/2020,20:00:00,25.14,23.24,23.51,23.22,94.3,22.54,0,4.3,45.64,1.76
260,ALACHUA,10/21/2020,21:00:00,24.97,23.12,23.41,23.1,95.2,22.59,0,6.58,74.7,1.7
260,ALACHUA,10/21/2020,22:00:00,24.8,22.94,23.26,22.94,95.5,22.5,0,5.07,71.31,1.64
260,ALACHUA,10/21/2020,23:00:00,24.64,22.49,22.8,22.46,96.3,22.18,0,3.31,52.55,1.69
260,ALACHUA,10/22/2020,0:00:00,24.49,22.26,22.57,22.27,96.7,22.02,0.09,3.08,62.37,1.92
260,ALACHUA,10/22/2020,1:00:00,24.34,22.17,22.43,22.1,97.3,21.98,0.01,2.66,53.61,1.95
260,ALACHUA,10/22/2020,2:00:00,24.22,22.36,22.57,22.22,97.7,22.18,0,4.7,54.93,2.1
260,ALACHUA,10/22/2020,3:00:00,24.14,22.23,22.47,22.13,97.8,22.1,0,2.87,49.19,2.27
260,ALACHUA,10/22/2020,4:00:00,24.06,22.18,22.35,21.99,98,22.01,0,3.39,45.82,2.34
260,ALACHUA,10/22/2020,5:00:00,23.99,22.15,22.32,21.95,98.1,22,0,4.06,57.76,2.51
260,ALACHUA,10/22/2020,6:00:00,23.94,22.06,22.26,21.92,98.2,21.96,0,3.09,49.3,2.55
260,ALACHUA,10/22/2020,7:00:00,23.88,22.01,22.2,21.85,98.1,21.89,0,4.21,41.79,3.1
260,ALACHUA,10/22/2020,8:00:00,23.83,22.01,22.14,21.76,98.2,21.84,0,3.96,46.1,27.8
260,ALACHUA,10/22/2020,9:00:00,23.81,22.65,22.7,22.26,97.9,22.34,0,4.71,59.77,133.1
260,ALACHUA,10/22/2020,10:00:00,23.88,24.75,24.65,24.03,92.9,23.42,0,5.08,59.51,356.25
260,ALACHUA,10/22/2020,11:00:00,24.12,26.66,26.36,25.58,85.2,23.67,0,6.33,73.59,464.45
260,ALACHUA,10/22/2020,12:00:00,24.56,27.22,26.98,26.28,81,23.44,0,8.6,81.17,457.55
260,ALACHUA,10/22/2020,13:00:00,25.02,27.93,27.6,26.82,75.6,22.92,0,9.07,88.29,519.75
260,ALACHUA,10/22/2020,14:00:00,25.45,24.38,24.28,23.7,88.5,22.22,0.03,8.57,100.54,292.5
260,ALACHUA,10/22/2020,15:00:00,25.63,26.31,25.97,25.35,85,23.23,0,8.27,95.53,472.28
260,ALACHUA,10/22/2020,16:00:00,25.84,27.16,27.01,26.4,79,23.05,0,10.44,77.98,362.67
260,ALACHUA,10/22/2020,17:00:00,25.98,26.63,26.61,26.11,75.6,21.94,0,9.56,72.3,253.07
260,ALACHUA,10/22/2020,18:00:00,25.92,24.9,25.14,24.79,82.2,21.9,0,7.22,72.74,65.92
260,ALACHUA,10/22/2020,19:00:00,25.73,23.37,23.8,23.47,88.8,21.85,0,5.2,64.77,2.42
260,ALACHUA,10/22/2020,20:00:00,25.44,22.68,23.05,22.71,92.2,21.71,0,5.75,67.27,1.48
260,ALACHUA,10/22/2020,21:00:00,25.18,22.5,22.83,22.47,93.8,21.77,0,5.76,67.48,1.55
260,ALACHUA,10/22/2020,22:00:00,24.94,21.96,22.29,21.97,93.9,21.26,0,5.41,73.91,1.55
260,ALACHUA,10/22/2020,23:00:00,24.72,21.32,21.67,21.37,95.3,20.88,0,2.99,64.69,1.56
260,ALACHUA,10/23/2020,0:00:00,24.51,21,21.3,20.99,96.3,20.68,0,3.17,56.18,1.56
260,ALACHUA,10/23/2020,1:00:00,24.32,21.12,21.36,21.04,96.9,20.84,0,3.56,51.27,1.56
260,ALACHUA,10/23/2020,2:00:00,24.15,21.37,21.6,21.26,97.4,21.17,0,3.82,58.22,1.58
260,ALACHUA,10/23/2020,3:00:00,24.02,21.36,21.59,21.24,97.7,21.21,0,3.19,66.42,1.62
260,ALACHUA,10/23/2020,4:00:00,23.9,21.22,21.48,21.15,97.8,21.12,0,2.54,58.76,1.64
260,ALACHUA,10/23/2020,5:00:00,23.8,21.11,21.36,21.04,98.1,21.04,0,2.61,50.32,1.66
260,ALACHUA,10/23/2020,6:00:00,23.7,21.25,21.45,21.12,98.1,21.14,0,3.17,46.85,1.69
260,ALACHUA,10/23/2020,7:00:00,23.64,21.14,21.41,21.11,98,21.08,0,1.96,51.49,2.79
260,ALACHUA,10/23/2020,8:00:00,23.56,21.8,21.88,21.52,97.6,21.48,0,2.45,54.35,95.07
260,ALACHUA,10/23/2020,9:00:00,23.54,24.27,24.21,23.68,92.7,22.94,0,4.01,80.96,262.77
260,ALACHUA,10/23/2020,10:00:00,23.7,26.66,26.35,25.62,83.7,23.36,0,6.81,106.55,433.1
260,ALACHUA,10/23/2020,11:00:00,24.08,27.47,27.2,26.43,79.3,23.3,0,5.81,90.92,434.22
260,ALACHUA,10/23/2020,12:00:00,24.57,27.68,27.55,26.83,75.6,22.85,0,6.12,88.59,352.58
260,ALACHUA,10/23/2020,13:00:00,25.02,28.09,27.76,26.94,75.7,23.08,0,7.27,93.05,481.5
260,ALACHUA,10/23/2020,14:00:00,25.42,25.49,25.56,24.86,83.8,22.6,0.02,8.15,98.49,178.2
260,ALACHUA,10/23/2020,15:00:00,25.56,23.13,23.23,22.75,93.2,22.08,0.07,6.83,92.01,170.02
260,ALACHUA,10/23/2020,16:00:00,25.51,24.5,24.56,24.08,90.9,22.98,0,5.9,77.06,194.02
260,ALACHUA,10/23/2020,17:00:00,25.5,24.44,24.71,24.2,88.2,22.63,0,5.71,84.05,99.66
260,ALACHUA,10/23/2020,18:00:00,25.44,23.62,24.11,23.76,87.3,21.87,0,4.84,76.34,33.46
260,ALACHUA,10/23/2020,19:00:00,25.26,22.5,23.12,22.93,90.8,21.53,0,2.74,72.48,1.92
260,ALACHUA,10/23/2020,20:00:00,25.03,21.92,22.55,22.44,92.1,21.21,0,2.26,80.22,1.43
260,ALACHUA,10/23/2020,21:00:00,24.8,21.17,21.76,21.73,94.5,20.85,0,2.21,74.27,1.49
260,ALACHUA,10/23/2020,22:00:00,24.57,20.8,21.4,21.3,95.2,20.61,0,1.87,91.35,1.52
260,ALACHUA,10/23/2020,23:00:00,24.35,20.22,20.82,20.91,96.4,20.22,0,1.6,43.89,1.53
260,ALACHUA,10/24/2020,0:00:00,24.13,19.92,20.45,20.49,97.1,19.98,0,2.03,45,1.52
260,ALACHUA,10/24/2020,1:00:00,23.93,19.79,20.31,20.31,97.6,19.91,0,1.4,39.57,1.52
260,ALACHUA,10/24/2020,2:00:00,23.74,19.32,19.82,19.99,97.8,19.46,0,1.55,16.96,1.49
260,ALACHUA,10/24/2020,3:00:00,23.54,19.7,20.13,20.05,98.1,19.82,0,1.87,45.06,1.56
260,ALACHUA,10/24/2020,4:00:00,23.38,19.19,19.72,19.77,98.2,19.43,0,0.63,67.06,1.56
260,ALACHUA,10/24/2020,5:00:00,23.24,18.83,19.24,19.27,98.2,18.96,0,0.71,64.25,1.56
260,ALACHUA,10/24/2020,6:00:00,23.1,18.68,19.08,19.3,98.4,18.82,0,1.44,60.15,1.57
260,ALACHUA,10/24/2020,7:00:00,22.96,18.59,18.99,19.27,98.5,18.75,0,1.34,49.41,2.41
260,ALACHUA,10/24/2020,8:00:00,22.84,19.33,19.48,19.4,98.6,19.25,0,1.2,60.87,46.92
260,ALACHUA,10/24/2020,9:00:00,22.77,22.3,22.15,21.71,96.9,21.62,0,3.76,80.22,243.85
260,ALACHUA,10/24/2020,10:00:00,22.88,24.48,24.36,23.7,90,22.61,0,5.22,95.1,290.3
260,ALACHUA,10/24/2020,11:00:00,23.23,26.49,26.04,25.29,83.2,22.97,0,5.73,126.15,463.75
260,ALACHUA,10/24/2020,12:00:00,23.75,27.21,26.79,25.99,77.8,22.58,0,6.25,138.17,477.78
260,ALACHUA,10/24/2020,13:00:00,24.36,28.32,27.71,26.8,75.1,22.9,0,5.63,112.32,614.58
260,ALACHUA,10/24/2020,14:00:00,24.96,26.98,26.79,26.21,78.8,22.81,0,3.47,77.04,317.45
260,ALACHUA,10/24/2020,15:00:00,25.42,28.78,28.54,27.85,67,21.82,0,6.47,104.78,402.62
260,ALACHUA,10/24/2020,16:00:00,25.73,28.94,28.75,28.02,65.2,21.57,0,7.21,109.4,358.22
260,ALACHUA,10/24/2020,17:00:00,25.9,27.76,28.03,27.53,66.8,21.27,0,4.97,121.68,120.95
260,ALACHUA,10/24/2020,18:00:00,25.88,25.55,26.15,26.01,78.2,22.04,0,2.13,92.92,31.52
260,ALACHUA,10/24/2020,19:00:00,25.73,23.32,24.12,24.3,87.1,21.84,0,2.35,117.91,1.64
260,ALACHUA,10/24/2020,20:00:00,25.51,23.2,23.96,23.9,82.7,20.83,0,4.13,112.97,1.39
260,ALACHUA,10/24/2020,21:00:00,25.25,23.06,23.62,23.43,84,20.77,0,1.07,111.04,1.42
260,ALACHUA,10/24/2020,22:00:00,25,23.17,23.62,23.28,86.1,21.14,0,1.37,39.86,1.45
260,ALACHUA,10/24/2020,23:00:00,24.81,22.13,22.44,22.01,91.8,21.02,0.01,1.76,20.84,1.46
260,ALACHUA,10/25/2020,0:00:00,24.62,21.54,21.78,21.35,95,20.94,0,1.3,41.62,1.56
260,ALACHUA,10/25/2020,1:00:00,24.46,21.02,21.32,20.98,96.3,20.71,0,1.14,40,1.56
260,ALACHUA,10/25/2020,2:00:00,24.29,20.25,20.78,20.6,96.9,20.26,0,0.86,41.44,1.56
260,ALACHUA,10/25/2020,3:00:00,24.1,19.72,20.33,20.37,97.3,19.89,0,0.85,20.17,1.55
260,ALACHUA,10/25/2020,4:00:00,23.9,19.52,20.02,20.14,97.6,19.63,0,0.89,71.45,1.55
260,ALACHUA,10/25/2020,5:00:00,23.69,19.32,19.78,19.87,97.8,19.43,0,0.75,20.02,1.56
260,ALACHUA,10/25/2020,6:00:00,23.52,19.7,20.02,19.8,98,19.69,0,0.88,96.26,1.86
260,ALACHUA,10/25/2020,7:00:00,23.39,19.47,19.78,19.55,98.2,19.49,0,1.01,38.68,2.67
260,ALACHUA,10/25/2020,8:00:00,23.26,19.9,20.01,19.74,98.3,19.73,0.01,0.82,35.9,57.76
260,ALACHUA,10/25/2020,9:00:00,23.2,22.83,22.48,22.04,97.2,22.01,0,1.37,108.75,235.4
260,ALACHUA,10/25/2020,10:00:00,23.31,26.4,26.06,25.41,89.5,24.19,0,0.95,132.38,405.85
260,ALACHUA,10/25/2020,11:00:00,23.72,28.61,27.96,27.15,79.5,24.08,0,2.2,299.06,549.67
260,ALACHUA,10/25/2020,12:00:00,24.39,29.56,28.96,28.12,69.3,22.78,0,2.83,328.55,489.12
260,ALACHUA,10/25/2020,13:00:00,25.08,29.28,28.94,28.15,67.4,22.3,0,2.84,5.3,451.65
260,ALACHUA,10/25/2020,14:00:00,25.57,30.21,29.69,28.77,63.4,21.99,0,4.36,354.66,570.35
260,ALACHUA,10/25/2020,15:00:00,26.1,31.06,30.35,29.34,60.4,21.82,0,4.35,326.3,579.85
260,ALACHUA,10/25/2020,16:00:00,26.55,29.97,29.83,29.01,61.3,21.58,0,3.28,356.41,246.13
260,ALACHUA,10/25/2020,17:00:00,26.72,30.42,30.18,29.5,60.4,21.68,0,1.7,341.11,194.27
260,ALACHUA,10/25/2020,18:00:00,26.68,29.03,29.22,28.73,66.2,22.22,0,1.33,359.11,66.31
260,ALACHUA,10/25/2020,19:00:00,26.52,24.08,25.24,25.42,83.4,22.21,0,1.04,14.14,2.08
260,ALACHUA,10/25/2020,20:00:00,26.24,23.1,24.04,24.35,88.4,21.99,0,2.54,57.26,1.39
260,ALACHUA,10/25/2020,21:00:00,25.94,23.58,24.23,24.16,89.2,22.34,0,4.38,86.22,1.57
260,ALACHUA,10/25/2020,22:00:00,25.66,22.97,23.7,23.62,91.5,22.22,0,1.93,86.27,1.61
260,ALACHUA,10/25/2020,23:00:00,25.4,21.8,22.58,22.72,94.6,21.67,0,1.03,69.49,1.66
260,ALACHUA,10/26/2020,0:00:00,25.14,20.98,21.71,22.15,96,21.05,0,1.19,60.58,1.7
260,ALACHUA,10/26/2020,1:00:00,24.87,20.28,21.02,21.51,96.9,20.51,0,1.18,63.84,1.75
260,ALACHUA,10/26/2020,2:00:00,24.65,19.85,20.65,21.3,97.4,20.22,0,1.51,75.21,1.9
260,ALACHUA,10/26/2020,3:00:00,24.39,19.24,20.06,20.94,97.7,19.68,0,1.45,67.08,1.88
260,ALACHUA,10/26/2020,4:00:00,24.16,19.2,19.85,20.69,97.9,19.51,0,1.83,52.95,1.87
260,ALACHUA,10/26/2020,5:00:00,23.94,20.25,20.55,20.35,98.1,20.25,0,2.54,38.49,1.95
260,ALACHUA,10/26/2020,6:00:00,23.79,20.34,20.56,20.27,98.3,20.28,0,2.55,60.25,1.95
260,ALACHUA,10/26/2020,7:00:00,23.67,20.44,20.63,20.31,98.5,20.38,0,3.31,52.23,2.86
260,ALACHUA,10/26/2020,8:00:00,23.58,21.06,21.2,20.82,98.6,20.96,0,3.21,50.26,39.09
260,ALACHUA,10/26/2020,9:00:00,23.53,22.17,22.2,21.7,98.7,21.98,0,4.53,69.51,118.8
260,ALACHUA,10/26/2020,10:00:00,23.59,23.82,23.68,23.17,97,23.18,0,7.02,81.55,310.02
260,ALACHUA,10/26/2020,11:00:00,23.8,26.15,25.9,25.2,87,23.56,0,7.49,69.57,462.18
260,ALACHUA,10/26/2020,12:00:00,24.18,27.99,27.58,26.72,76.8,23.15,0,8.55,84.68,613.88
260,ALACHUA,10/26/2020,13:00:00,24.72,28.89,28.54,27.71,73,23.23,0,8,79.72,522.17
260,ALACHUA,10/26/2020,14:00:00,25.24,29.05,28.92,28.21,70.2,22.95,0,7.56,92.64,433.12
260,ALACHUA,10/26/2020,15:00:00,25.65,29.08,29.04,28.33,69.5,22.89,0,8.18,88.99,328.78
260,ALACHUA,10/26/2020,16:00:00,25.91,28.76,28.85,28.26,69.7,22.76,0,8.58,86.06,270.32
260,ALACHUA,10/26/2020,17:00:00,26.02,28.13,28.27,27.77,71.5,22.62,0,7.84,88.35,193.3
260,ALACHUA,10/26/2020,18:00:00,26,26.63,27.05,26.72,76.3,22.51,0,6.3,80.83,55.93
260,ALACHUA,10/26/2020,19:00:00,25.86,24.96,25.58,25.34,82,22.27,0,5.87,81.67,2.04
260,ALACHUA,10/26/2020,20:00:00,25.65,24,24.56,24.34,87.2,22.29,0,5.07,78.96,1.39
260,ALACHUA,10/26/2020,21:00:00,25.44,23.59,24.05,23.78,90.8,22.46,0,6.3,88.6,1.47
260,ALACHUA,10/26/2020,22:00:00,25.22,23.37,23.74,23.43,93.2,22.58,0,6.63,88.92,1.52
260,ALACHUA,10/26/2020,23:00:00,25.03,23.65,23.98,23.61,93.9,22.94,0,6.95,90.1,1.58
260,ALACHUA,10/27/2020,0:00:00,24.88,23.63,23.96,23.53,94.4,23,0,6.2,82.4,1.58
260,ALACHUA,10/27/2020,1:00:00,24.79,23.14,23.46,23.09,95.7,22.74,0,5.44,78.66,1.55
260,ALACHUA,10/27/2020,2:00:00,24.68,23.07,23.36,22.97,96.3,22.74,0,4.48,79.19,1.57
260,ALACHUA,10/27/2020,3:00:00,24.58,22.94,23.25,22.88,96.6,22.68,0,3.42,67.67,1.6
260,ALACHUA,10/27/2020,4:00:00,24.51,22.82,23.09,22.7,97.1,22.6,0,2.31,50.82,1.63
260,ALACHUA,10/27/2020,5:00:00,24.42,22.78,23.01,22.62,97.4,22.58,0,3.19,53.23,1.62
260,ALACHUA,10/27/2020,6:00:00,24.35,22.92,23.16,22.76,97.5,22.74,0,3.36,66.56,1.61
260,ALACHUA,10/27/2020,7:00:00,24.3,23.16,23.44,23.05,97.6,23.03,0,4.59,77.74,2.5
260,ALACHUA,10/27/2020,8:00:00,24.26,23.58,23.8,23.4,97.2,23.34,0,5.43,86.25,56.32
260,ALACHUA,10/27/2020,9:00:00,24.23,25.33,25.3,24.81,93.2,24.13,0,7.62,91.99,204.45
260,ALACHUA,10/27/2020,10:00:00,24.28,27.05,26.88,26.26,86.5,24.43,0,9.37,98.91,350.62
260,ALACHUA,10/27/2020,11:00:00,24.45,28.26,28.04,27.31,80.4,24.36,0,8.34,112.74,362.8
260,ALACHUA,10/27/2020,12:00:00,24.78,28.42,28.32,27.7,78.8,24.28,0,7.55,105.33,325.97
260,ALACHUA,10/27/2020,13:00:00,25.1,29.21,29.06,28.34,74.9,24.17,0,8.86,107.55,348.5
260,ALACHUA,10/27/2020,14:00:00,25.43,28.6,28.7,28.14,77.1,24.28,0,6.49,89.01,220.27
260,ALACHUA,10/27/2020,15:00:00,25.67,28.05,28,27.44,81.6,24.57,0,9.16,90.55,353.25
260,ALACHUA,10/27/2020,16:00:00,25.87,27.97,28.11,27.52,80.8,24.5,0,5.86,81.34,170.61
260,ALACHUA,10/27/2020,17:00:00,25.99,28.16,28.34,27.87,81,24.76,0,6.07,101.18,178.54
260,ALACHUA,10/27/2020,18:00:00,26.03,27.06,27.6,27.18,81.8,24.22,0,6.18,89.79,32.17
260,ALACHUA,10/27/2020,19:00:00,25.98,25.84,26.4,26.01,86.1,23.89,0,6.66,87.02,1.66
260,ALACHUA,10/27/2020,20:00:00,25.84,25.34,25.85,25.42,87.1,23.53,0,8.66,96.2,1.56
260,ALACHUA,10/27/2020,21:00:00,25.69,24.78,25.27,24.9,88.9,23.3,0,7.83,104.45,1.51
260,ALACHUA,10/27/2020,22:00:00,25.52,24.25,24.71,24.35,90.6,23.07,0,7.07,103.95,1.49
260,ALACHUA,10/27/2020,23:00:00,25.34,24.01,24.38,23.99,92.2,23.03,0,5.88,103.02,1.51
260,ALACHUA,10/28/2020,0:00:00,25.2,23.81,24.16,23.77,93.6,23.06,0,4.97,106.58,1.52
260,ALACHUA,10/28/2020,1:00:00,25.08,23.61,23.98,23.62,94.6,23.06,0,4.72,100.65,1.52
260,ALACHUA,10/28/2020,2:00:00,24.96,23.22,23.6,23.26,95.5,22.83,0,4.69,100.81,1.54
260,ALACHUA,10/28/2020,3:00:00,24.84,22.77,23.13,22.81,96.3,22.52,0,5.04,98.11,1.57
260,ALACHUA,10/28/2020,4:00:00,24.72,22.39,22.82,22.56,96.8,22.28,0,2.76,98.69,1.6
260,ALACHUA,10/28/2020,5:00:00,24.58,22,22.5,22.33,97.4,22.06,0,2.39,102.97,1.62
260,ALACHUA,10/28/2020,6:00:00,24.45,21.85,22.43,22.37,97.7,22.05,0,1.78,114.61,1.7
260,ALACHUA,10/28/2020,7:00:00,24.31,21.59,22.25,22.28,97.9,21.9,0,2.67,113.06,2.54
260,ALACHUA,10/28/2020,8:00:00,24.17,22.62,22.85,22.62,97.8,22.5,0,3.62,105.61,61.88
